Bar Name,Brand Name,predicted_daily_demand_ml,safety_stock_ml,par_level_ml,stockout_days,lost_volume_ml,average_inventory_ml
Brown's Bar,Coors,30.712455516014238,265.25135182650837,326.67626285853686,5,2703.014948565853,271.53105014208217
Thomas's Bar,Yellow Tail,37.09042704626334,261.41774913234616,335.5986032248728,14,2399.876761301526,204.17259650097216
Taylor's Bar,Jim Beam,61.755765124555154,319.97037172934023,443.48190197845054,8,2169.9285881292967,325.28287491136666
Johnson's Bar,Jim Beam,38.245338078291816,281.90760783758174,358.39828399416535,10,1828.6720120408427,262.2828477136256
Taylor's Bar,Sutter Home,38.50679715302491,267.09832710603337,344.1119214120832,8,1775.3865501154178,265.8766129646303
Brown's Bar,Grey Goose,72.15071174377223,374.11678538641513,518.4182088739597,7,1687.5589556302016,394.6660667790356
Taylor's Bar,Jameson,54.93202846975089,314.1930718036052,424.057128743107,9,1658.9672275413577,329.1116985330046
Brown's Bar,Malibu,46.24921708185054,305.9065549248566,398.40498908855767,8,1570.1650763800963,288.01970939628654
Taylor's Bar,Smirnoff,57.86185053380783,335.74241241391206,451.4661134815277,10,1438.8510921477782,295.2799470631553
Brown's Bar,Yellow Tail,79.19932384341637,386.12826362186416,544.5269113086969,4,1388.4523547652125,426.81542834433674
Smith's Bar,Jameson,44.29889679715303,317.8362813057345,406.4340749000405,7,1343.4796254997973,307.30814885778125
Brown's Bar,Smirnoff,40.85142348754449,293.47727770980214,375.1801246848911,7,1319.5395012604354,292.0019416218048
Anderson's Bar,Sutter Home,61.36487544483985,380.7749130637525,503.5046639534322,7,1317.9966802328388,410.6056971994277
Anderson's Bar,Absolut,27.998291814946622,215.9430848860696,271.93966851596286,6,1309.4716574201857,204.3346447813202
Anderson's Bar,Jack Daniels,55.45188612099644,315.666821509872,426.5705937518649,5,1306.2276249925403,305.3888367094013
Johnson's Bar,Grey Goose,65.79387900355873,362.07565876191916,493.66341676903664,8,1291.3694993857803,353.2719014949605
Johnson's Bar,Heineken,48.16074733096085,297.32354815527964,393.64504281720133,9,1255.1996574623893,279.7965824640293
Brown's Bar,Jim Beam,61.760854092526685,339.7249278455501,463.24663603060344,6,1208.9668198469828,336.565137998124
Taylor's Bar,Barefoot,58.724697508896796,322.9943741648323,440.44376918262594,6,1150.5111540868702,339.79788619915735
Anderson's Bar,Smirnoff,67.8979359430605,345.0898014431331,480.88567332925413,6,1127.4016333537293,361.21980384626073
Brown's Bar,Jameson,61.48370106761566,343.0995573411764,466.06695947640776,5,1069.8152026179612,332.2017539163503
Anderson's Bar,Jim Beam,61.748576512455514,350.76819651975745,474.2653495446685,8,1052.8225531873209,306.40035104290286
Smith's Bar,Smirnoff,44.15562277580071,307.56042546422265,395.87167101582406,7,1046.5616449208796,295.47988636570784
Smith's Bar,Sutter Home,52.22327402135231,313.75614123492994,418.2026892776346,7,1029.8811750565578,265.4534266031714
Smith's Bar,Budweiser,35.236298932384344,252.16184149666162,322.6344393614303,6,1024.5533638314182,256.59622425809005
Thomas's Bar,Budweiser,36.48533807829182,295.066806636749,368.03748279333263,8,1002.1576204466714,273.53516224253474
Thomas's Bar,Bacardi,62.849999999999994,343.806041392646,469.506041392646,7,984.4737516441239,342.2276406135038
Smith's Bar,Heineken,45.36843416370107,300.1068161046674,390.84368443206955,6,978.9215778396523,296.4338697233274
Johnson's Bar,Malibu,64.92832740213524,357.6323104404809,487.4889652447514,6,957.965173776243,350.6167166187302
Brown's Bar,Barefoot,52.482455516014234,309.91463480526954,414.879545837298,5,929.3122708135099,328.1084766466546
Anderson's Bar,Coors,57.28733096085409,337.08337869357945,451.65804061528763,4,914.6258781541371,376.08891042244625
Smith's Bar,Bacardi,48.04644128113879,328.0105641957866,424.1034467580642,4,908.9896597258075,319.86231041231235
Smith's Bar,Barefoot,56.70245551601423,332.86404710664755,446.268958138676,6,903.41520930662,362.24234431632726
Thomas's Bar,Grey Goose,67.37046263345195,366.9389553783262,501.6798806452301,5,868.1203580643097,338.7612991822531
Taylor's Bar,Miller,41.623487544483986,292.2311035815669,375.4780786705349,2,863.1819213294652,349.4685553277029
Taylor's Bar,Grey Goose,74.40804270462634,380.1123991294044,528.9284845386571,5,804.6545463840287,400.25959852130586
Taylor's Bar,Bacardi,47.40800711743772,293.5878202705626,388.403834505438,2,782.826165494562,377.46288142077793
Johnson's Bar,Coors,50.77277580071174,328.2795922513641,429.82514385278756,5,781.7194245888497,334.9276628552904
