Bar Name,Alcohol Type,Brand Name,forecast_method,predicted_daily_demand_ml,safety_stock_ml,par_level_ml,stockout_days,lost_volume_ml,average_inventory_ml
Brown's Bar,Beer,Coors,7-day moving average,29.740076258261286,324.86523277920213,414.08546155398597,5,2353.378153784056,349.09132504086085
Thomas's Bar,Wine,Yellow Tail,7-day moving average,36.322877478393565,320.170047540574,429.1386799757547,9,1445.7718802182073,270.836479418521
Taylor's Bar,Whiskey,Jim Beam,7-day moving average,61.137722419928814,391.8820717727697,575.2952390325561,6,1421.9538048372194,437.8830256340631
Johnson's Bar,Whiskey,Jim Beam,7-day moving average,38.57238434163695,345.26489690534953,460.98204993026036,8,1291.4097503486983,349.73246543304043
Taylor's Bar,Wine,Sutter Home,7-day moving average,38.49839857651247,327.1273062803874,442.6225020099248,7,1126.1849879404513,346.09982561388125
Brown's Bar,Vodka,Grey Goose,7-day moving average,73.07038637519061,458.19761420351966,677.4087733290914,4,1074.0836800127256,536.3756375548023
Brown's Bar,Rum,Malibu,7-day moving average,46.03138281647177,374.6574842692875,512.7516327187028,5,1022.5934691251889,388.5523168168589
Taylor's Bar,Whiskey,Jameson,7-day moving average,54.76825622775801,384.8063533182347,549.1111220015088,5,972.555511993965,434.83015050838094
Anderson's Bar,Vodka,Absolut,7-day moving average,27.92499237417387,264.4751857266923,348.2501628492139,5,956.5293486031444,270.70310224648557
Anderson's Bar,Whiskey,Jack Daniels,7-day moving average,55.40942552109809,386.61132071269986,552.8395972759942,3,923.4708054480116,420.8759579928395
Brown's Bar,Whiskey,Jim Beam,7-day moving average,61.49055922724957,416.0763630627151,600.5480407444638,1,907.6219592555362,465.3779550896902
Brown's Bar,Wine,Yellow Tail,7-day moving average,80.76656329435681,472.9086105702176,715.2083004532881,2,890.4533990934239,583.4686778925396
Brown's Bar,Vodka,Smirnoff,7-day moving average,41.459761057447864,359.43479074504523,483.81407391738884,5,885.0037043304446,388.3954458703592
Anderson's Bar,Wine,Sutter Home,7-day moving average,61.87069649211993,466.352121929409,651.9642114057688,2,859.1415771884626,546.1397487913595
Johnson's Bar,Vodka,Grey Goose,7-day moving average,65.46422979156064,443.4503061243915,639.8429954990734,3,800.8440090018532,486.33902392166084
Smith's Bar,Whiskey,Jameson,7-day moving average,45.555815963395965,389.2683554713726,525.9358033615605,5,794.3867865537579,411.34247340532835
Taylor's Bar,Beer,Miller,7-day moving average,42.26185053380778,357.9085453726283,484.6940969740516,2,753.9659030259484,455.60806607337395
Taylor's Bar,Vodka,Smirnoff,7-day moving average,56.81218098627348,411.19879771257854,581.635340671399,4,711.5186373144038,404.9609360887062
Taylor's Bar,Rum,Bacardi,7-day moving average,46.613751906456486,359.5701771794071,499.4114328987765,2,671.8185671012235,485.34350521148724
Taylor's Bar,Wine,Barefoot,7-day moving average,58.99867819013727,395.58570324671433,572.5817378171262,4,658.1247865486214,458.06581631145355
Smith's Bar,Beer,Heineken,7-day moving average,44.21610574478896,367.5542838938501,500.202601128217,3,652.844797743566,396.6075250083175
Anderson's Bar,Beer,Coors,7-day moving average,58.40048805287239,412.8411392863102,588.0426034449274,2,631.7747931101451,504.5058370536639
Anderson's Bar,Vodka,Smirnoff,7-day moving average,66.81442806304015,422.64696448701903,623.0902486761395,2,626.0095026477211,489.3006572014276
Brown's Bar,Whiskey,Jameson,7-day moving average,60.56095068632431,420.20942323033023,601.8922752893031,2,621.8854494213938,455.409330202582
Smith's Bar,Rum,Bacardi,7-day moving average,49.03009150991351,401.72925626105126,548.8195307907918,2,593.3609384184165,435.68744454905703
Smith's Bar,Beer,Budweiser,7-day moving average,35.23629893238427,308.83392213369507,414.5428189308479,4,573.1787242766086,335.78982524849874
Smith's Bar,Wine,Sutter Home,7-day moving average,52.42561260803245,384.27122484509545,541.5480626691929,2,533.4638746616142,374.81521406811163
Thomas's Bar,Beer,Budweiser,7-day moving average,34.896659888154566,361.381558146252,466.0715378107157,4,513.1738487571371,357.7950265080999
Smith's Bar,Vodka,Smirnoff,7-day moving average,43.732241992882514,376.6830537303217,507.8797797089693,5,503.8808811641228,392.20121298119795
Johnson's Bar,Rum,Malibu,7-day moving average,62.54862226741222,438.0083380559036,625.6542048581402,3,495.0073854255793,475.74089177153684
Thomas's Bar,Vodka,Grey Goose,7-day moving average,67.33670055922732,449.4066037133921,651.4167053910741,2,471.3765892178519,477.32224311552056
Johnson's Bar,Wine,Sutter Home,7-day moving average,61.70369598373148,414.7373941360308,599.8484820872252,1,461.33151791277476,489.2409192115288
Johnson's Bar,Beer,Heineken,7-day moving average,47.83234367056426,364.14549074712886,507.64252175882166,5,453.4773912058918,371.2103355956074
Johnson's Bar,Beer,Coors,7-day moving average,50.7727758007117,402.0587469923802,554.3770743945153,1,451.7729256054848,450.18532582002194
Brown's Bar,Wine,Barefoot,7-day moving average,51.99171326893742,379.5663595469511,535.5414993537634,3,448.25550193870987,435.61756983091016
Smith's Bar,Rum,Malibu,7-day moving average,70.87059481443815,441.06053647751077,653.6723209208252,2,446.61767907917476,548.8156358244642
Taylor's Bar,Vodka,Grey Goose,7-day moving average,74.40804270462628,465.5407113860907,688.7648394999696,3,438.0103210000608,549.7679471337743
Taylor's Bar,Vodka,Absolut,7-day moving average,47.208693441789485,378.486985372007,520.1130656973754,3,416.29080290787385,436.4973136666114
Smith's Bar,Wine,Yellow Tail,7-day moving average,66.03615658362982,437.91298020346244,636.021449954352,1,392.68855004564807,503.1650710823983
Smith's Bar,Wine,Barefoot,7-day moving average,54.646542958820454,407.67353456451485,571.6131634409762,2,390.69367311804757,473.1436894443015
Thomas's Bar,Beer,Coors,7-day moving average,37.23665480427048,329.9987502149721,441.7087146277836,3,376.83385611664926,392.7634711381118
Smith's Bar,Vodka,Grey Goose,7-day moving average,63.0304575495678,452.7529917475874,641.8443643962908,1,361.8156356037092,500.16945272315564
Brown's Bar,Rum,Bacardi,7-day moving average,62.81066598881543,417.28313209918383,605.7151300656301,3,310.3197398687398,488.44131992108765
Anderson's Bar,Whiskey,Jim Beam,7-day moving average,63.65145399084899,429.6015497348499,620.555911707397,2,310.1981765852061,431.7719166816281
